Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_average,k_total_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average
internalMesh,5458,0.19901981,-0.02476838,0.00000000,0.20055512,0.85379916,0.00034206,0.01470177,0.85392582,0.36538655,0.00130945,0.00256374,0.00704623,0.00036195,-0.00328575,0.36548078,0.59930164,-0.00653032,0.04070703,0.60071802,0.14903326,0.33366315,0.00000211,33.83856583,1021.91723633,44.16108322,0.44483760
internalMesh,5459,0.19972917,-0.02476903,0.00000000,0.20125915,0.82213306,-0.00057409,0.01515971,0.82227302,0.34605059,0.00141213,0.00248783,0.00490045,0.00026282,-0.00506258,0.34613425,0.60518199,-0.01039731,0.03779399,0.60645008,0.14409524,0.31907051,0.00000239,33.79870605,977.27874756,44.10483170,0.43986097
internalMesh,5460,0.01956507,-0.02354823,0.00000000,0.03061554,-0.17009729,0.10899317,0.02058364,0.20306720,0.89744449,0.09157308,0.04381011,-0.12330350,0.01240814,-0.06470270,0.91392326,0.00010125,0.09484334,0.03619866,0.10151656,0.08513634,0.60155023,0.00000630,32.79724884,6898.93310547,43.01081848,0.63062763
internalMesh,5461,0.02001815,-0.02354906,0.00000000,0.03090768,-0.31731236,0.18592830,0.02788894,0.36882824,1.01858914,0.08720291,0.04573534,-0.15237260,0.01689390,-0.07584974,1.03753352,-0.09113291,0.15568198,0.02295815,0.18184929,0.09141545,0.66717915,0.00000642,32.77615738,6877.61083984,42.98557663,0.64182878
internalMesh,5462,0.03034726,-0.02338115,0.00000000,0.03830972,-0.99135816,0.02713053,-0.07953510,0.99491352,2.91430998,0.09235556,0.06427369,-0.23504490,-0.00320081,0.04757177,2.92632580,-0.57468516,-0.05422622,-0.02198682,0.57765639,0.09086920,1.62633869,0.00000355,31.89370918,6523.91259766,42.27082443,0.70422763
internalMesh,5463,0.03085616,-0.02338208,0.00000000,0.03871465,-1.00030446,0.01025071,-0.07767483,1.00336802,2.95813656,0.09384780,0.06753691,-0.21669170,0.00028035,0.05451895,2.96881604,-0.55610126,-0.06837388,-0.02717271,0.56094736,0.09140462,1.65116540,0.00000359,31.85340118,6493.97949219,42.20867538,0.71027523
internalMesh,5464,0.03508968,-0.02375474,0.00000000,0.04237421,-1.01477778,-0.02225600,-0.07721485,1.01795447,2.83868027,0.09796972,0.07542612,-0.10463655,-0.01505718,0.07345188,2.84428620,-0.52317345,-0.00967891,-0.06514701,0.52730280,0.11761110,1.62364923,0.00000708,31.85170364,6332.74365234,41.89416504,0.73033911
internalMesh,5465,0.03569020,-0.02375556,0.00000000,0.04287326,-0.99897391,-0.03033314,-0.08642580,1.00316417,2.80431676,0.10244425,0.07616904,-0.09383363,-0.02336066,0.07158706,2.80979800,-0.54896361,-0.01109641,-0.06699650,0.55314797,0.12549843,1.61696345,0.00000594,31.88648796,6298.54150391,41.85222626,0.73926133
internalMesh,5466,0.10373555,-0.02367629,0.00000000,0.10640316,0.03558182,-0.00419567,-0.03534730,0.05032992,3.31008148,0.07329233,0.05704898,0.02592126,0.01807699,0.05655588,3.31201792,-1.17462397,0.05138059,-0.02006056,1.17591834,0.10318517,1.82339654,0.00000412,35.13124084,3571.09667969,44.18927002,0.76674324
internalMesh,5467,0.10462434,-0.02367792,0.00000000,0.10727020,0.08897765,-0.00838878,-0.03521673,0.09606046,3.16007686,0.08154101,0.05433397,0.02925912,0.01820860,0.05147265,3.16220236,-1.11479020,0.06025727,-0.02283334,1.11665106,0.09965873,1.74763466,0.00000512,35.25212097,3524.89599609,44.36621857,0.76447612
