# y+ ()         
# Time          	patch           	min             	max             	average         
0.00101329      	lowerWall	6.26592877e-02	2.55379233e+00	1.04241373e+00
0.00102277      	upperWall	1.47245572e-02	3.59468220e+00	1.24254102e+00
0.00102277      	lowerWall	5.89752740e-02	2.55689589e+00	1.04370658e+00
0.00103223      	upperWall	1.41867622e-02	3.59759243e+00	1.24384260e+00
0.00103223      	lowerWall	7.27730117e-02	2.56044562e+00	1.04599361e+00
0.00104168      	upperWall	1.42036561e-02	3.60049659e+00	1.24511330e+00
0.00104168      	lowerWall	5.62798538e-02	2.56398200e+00	1.04754064e+00
0.00105112      	upperWall	1.39373640e-02	3.60339439e+00	1.24640204e+00
0.00105112      	lowerWall	5.65943050e-02	2.56750507e+00	1.04881016e+00
0.00106055      	upperWall	1.15595145e-02	3.60628556e+00	1.24779142e+00
0.00106055      	lowerWall	6.15333083e-02	2.57101512e+00	1.05056093e+00
0.00106997      	upperWall	9.81231684e-03	3.60916987e+00	1.24918108e+00
0.00106997      	lowerWall	6.59529215e-02	2.57451217e+00	1.05171670e+00
0.00107937      	upperWall	1.27421152e-02	3.61204409e+00	1.25055162e+00
0.00107937      	lowerWall	6.27285235e-02	2.57799277e+00	1.05398555e+00
0.00108876      	upperWall	1.25660328e-02	3.61491102e+00	1.25190731e+00
0.00108876      	lowerWall	5.19657646e-02	2.58146092e+00	1.05499149e+00
0.00109814      	upperWall	1.08235040e-02	3.61777042e+00	1.25322507e+00
0.00109814      	lowerWall	4.35871888e-02	2.58491635e+00	1.05591798e+00
0.00110751      	upperWall	1.04110374e-02	3.62062197e+00	1.25454531e+00
0.00110751      	lowerWall	4.86145107e-02	2.58835961e+00	1.05787983e+00
0.00111687      	upperWall	1.07283858e-02	3.62344408e+00	1.25585171e+00
0.00111687      	lowerWall	7.18887871e-02	2.59179117e+00	1.05996594e+00
0.00112622      	upperWall	1.17880022e-02	3.62617538e+00	1.25714099e+00
0.00112622      	lowerWall	5.30811053e-02	2.59521110e+00	1.06099175e+00
0.00113555      	upperWall	1.12940983e-02	3.62878230e+00	1.25839124e+00
0.00113555      	lowerWall	7.43184737e-02	2.59861586e+00	1.06298541e+00
0.00114488      	upperWall	1.02081635e-02	3.63128027e+00	1.25962571e+00
0.00114488      	lowerWall	7.07507551e-02	2.60200921e+00	1.06433445e+00
0.00115419      	upperWall	8.89301690e-03	3.63367961e+00	1.26083346e+00
0.00115419      	lowerWall	6.26656226e-02	2.60539159e+00	1.06580432e+00
0.00116349      	upperWall	7.69399991e-03	3.63599147e+00	1.26200101e+00
0.00116349      	lowerWall	7.07657911e-02	2.60876341e+00	1.06729707e+00
0.00117278      	upperWall	6.64926539e-03	3.63822495e+00	1.26316281e+00
0.00117278      	lowerWall	6.57219141e-02	2.61212483e+00	1.06887275e+00
0.00118205      	upperWall	6.85574321e-03	3.64038395e+00	1.26439381e+00
0.00118205      	lowerWall	6.61749413e-02	2.61547231e+00	1.07005779e+00
0.00119132      	upperWall	7.13161442e-03	3.64247718e+00	1.26563150e+00
0.00119132      	lowerWall	6.26221964e-02	2.61880933e+00	1.07140731e+00
0.00120057      	upperWall	4.30563486e-03	3.64451016e+00	1.26682375e+00
0.00120057      	lowerWall	5.75379556e-02	2.62213586e+00	1.07257635e+00
0.00120981      	upperWall	9.88200402e-03	3.64648778e+00	1.26804735e+00
0.00120981      	lowerWall	5.42831066e-02	2.62545182e+00	1.07345587e+00
0.00121905      	upperWall	9.23803006e-03	3.64841437e+00	1.26922234e+00
0.00121905      	lowerWall	4.35488483e-02	2.62875711e+00	1.07461463e+00
0.00122826      	upperWall	7.99936974e-03	3.65029183e+00	1.27037165e+00
0.00122826      	lowerWall	3.73152359e-02	2.63204815e+00	1.07599326e+00
0.00123746      	upperWall	6.23063572e-03	3.65212536e+00	1.27149505e+00
0.00123746      	lowerWall	3.64837363e-02	2.63532825e+00	1.07751648e+00
0.00124666      	upperWall	5.61177037e-03	3.65391723e+00	1.27260078e+00
0.00124666      	lowerWall	2.79799649e-02	2.63859722e+00	1.07866528e+00
0.00125584      	upperWall	3.24600581e-03	3.65569618e+00	1.27366769e+00
0.00125584      	lowerWall	3.16392974e-02	2.64184663e+00	1.08012913e+00
0.00126501      	upperWall	4.22925696e-03	3.65808199e+00	1.27472349e+00
0.00126501      	lowerWall	2.58313074e-02	2.64549507e+00	1.08123733e+00
0.00127417      	upperWall	6.72484618e-03	3.66043844e+00	1.27575988e+00
0.00127417      	lowerWall	2.82953511e-02	2.64918119e+00	1.08276570e+00
0.00128331      	upperWall	8.06324521e-03	3.66276802e+00	1.27676745e+00
0.00128331      	lowerWall	2.51035992e-02	2.65274201e+00	1.08400232e+00
0.00129245      	upperWall	9.68202828e-03	3.66507055e+00	1.27774880e+00
0.00129245      	lowerWall	2.61822250e-02	2.65613758e+00	1.08529657e+00
0.00130157      	upperWall	9.35241042e-03	3.66734456e+00	1.27869524e+00
0.00130157      	lowerWall	2.47079251e-02	2.65938960e+00	1.08637152e+00
0.00131067      	upperWall	7.84920441e-03	3.66959542e+00	1.27961282e+00
0.00131067      	lowerWall	2.48201900e-02	2.66252267e+00	1.08744808e+00
0.00131977      	upperWall	3.55292296e-03	3.67182532e+00	1.28054315e+00
0.00131977      	lowerWall	2.43638785e-02	2.66555350e+00	1.08875821e+00
0.00132886      	upperWall	4.90027143e-03	3.67403389e+00	1.28158640e+00
0.00132886      	lowerWall	2.39168422e-02	2.66849581e+00	1.09023537e+00
0.00133793      	upperWall	2.47228338e-03	3.67621880e+00	1.28259281e+00
0.00133793      	lowerWall	2.39894062e-02	2.67135810e+00	1.09160560e+00
0.00134699      	upperWall	3.26972451e-03	3.67838457e+00	1.28358168e+00
0.00134699      	lowerWall	2.32946725e-02	2.67415304e+00	1.09290209e+00
0.00135605      	upperWall	5.15538464e-03	3.68053245e+00	1.28455237e+00
0.00135605      	lowerWall	2.35850889e-02	2.67688864e+00	1.09431254e+00
0.00136508      	upperWall	6.24688882e-03	3.68266108e+00	1.28548994e+00
0.00136508      	lowerWall	2.31973201e-02	2.67956874e+00	1.09563151e+00
0.0013741       	upperWall	7.37072066e-03	3.68477346e+00	1.28639841e+00
0.0013741       	lowerWall	2.31241293e-02	2.68220190e+00	1.09676306e+00
0.00138311      	upperWall	8.42389438e-03	3.68687020e+00	1.28728503e+00
0.00138311      	lowerWall	2.28081096e-02	2.68479272e+00	1.09777620e+00
0.00139211      	upperWall	9.46414454e-03	3.68894975e+00	1.28815264e+00
0.00139211      	lowerWall	2.28845733e-02	2.68734089e+00	1.09889350e+00
0.00140109      	upperWall	8.86289101e-03	3.69101476e+00	1.28900159e+00
0.00140109      	lowerWall	2.24510320e-02	2.68984861e+00	1.09993880e+00
0.00141007      	upperWall	8.01619330e-03	3.69306538e+00	1.28982991e+00
0.00141007      	lowerWall	2.26610180e-02	2.69231395e+00	1.10084783e+00
0.00141903      	upperWall	7.00462717e-03	3.69509986e+00	1.29063537e+00
0.00141903      	lowerWall	2.22287771e-02	2.69473323e+00	1.10200292e+00
0.00142797      	upperWall	5.77534131e-03	3.69712004e+00	1.29141715e+00
0.00142797      	lowerWall	2.24505639e-02	2.69710879e+00	1.10333093e+00
0.0014369       	upperWall	3.94725987e-03	3.69912273e+00	1.29217443e+00
0.0014369       	lowerWall	2.20633428e-02	2.69943863e+00	1.10446234e+00
0.00144582      	upperWall	1.22932311e-03	3.70110934e+00	1.29295959e+00
0.00144582      	lowerWall	2.22294522e-02	2.70172632e+00	1.10565172e+00
0.00145473      	upperWall	3.78166647e-03	3.70307941e+00	1.29373609e+00
0.00145473      	lowerWall	2.19473510e-02	2.70397283e+00	1.10678865e+00
0.00146363      	upperWall	5.45510392e-03	3.70503071e+00	1.29448750e+00
0.00146363      	lowerWall	2.20380856e-02	2.70617688e+00	1.10781465e+00
0.00147251      	upperWall	6.61118091e-03	3.70696488e+00	1.29522046e+00
0.00147251      	lowerWall	2.18453258e-02	2.70834263e+00	1.10893308e+00
0.00148137      	upperWall	7.57555353e-03	3.70887948e+00	1.29593348e+00
0.00148137      	lowerWall	2.18821610e-02	2.71046969e+00	1.10993706e+00
0.00149023      	upperWall	8.47623801e-03	3.71077658e+00	1.29662851e+00
0.00149023      	lowerWall	2.17521633e-02	2.71256122e+00	1.11102485e+00
0.00149907      	upperWall	9.30760474e-03	3.71265413e+00	1.29732986e+00
0.00149907      	lowerWall	2.17515898e-02	2.71461649e+00	1.11226772e+00
