Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_average,k_r_average,k_total_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average
internalMesh,10418,0.124638,0.023584,0.000000,0.126849,3.730492,-0.027549,-0.002784,3.730595,11.211862,0.248554,0.000561,0.041180,-0.001850,0.001659,11.214692,4.568369,-0.073720,-0.002937,4.568965,0.185173,5.730488,5.915661,0.000005,12.458011,1413913.625000,-3.291902,0.931278
internalMesh,10419,0.126135,0.023591,0.000000,0.128322,3.673055,-0.024511,-0.002755,3.673137,11.183803,0.247889,0.000523,0.038307,-0.001663,0.001862,11.186615,4.427274,-0.141176,-0.003770,4.429526,0.202707,5.716107,5.918814,0.000006,12.593464,1391028.375000,-3.446701,0.930208
internalMesh,10420,0.127644,0.023599,0.000000,0.129807,3.612777,-0.022441,-0.002861,3.612847,11.174252,0.253694,0.000493,0.039309,-0.001421,0.002842,11.177200,4.202044,-0.174608,-0.004488,4.205673,0.196038,5.714219,5.910257,0.000005,12.730097,1368155.875000,-3.845442,0.928827
internalMesh,10421,0.129165,0.023607,0.000000,0.131305,3.547405,-0.026281,-0.003153,3.547503,11.198293,0.268846,0.000468,0.070504,-0.001051,0.004603,11.201742,4.022555,-0.162885,-0.005644,4.025856,0.212872,5.733803,5.946675,0.000005,12.852255,1345298.625000,-4.214659,0.927717
internalMesh,10422,0.130698,0.023615,0.000000,0.132814,3.481539,-0.033725,-0.003456,3.481704,11.245922,0.282612,0.000446,0.127913,-0.000707,0.006588,11.250202,3.780523,-0.168791,-0.007303,3.784296,0.252995,5.764490,6.017485,0.000005,12.947828,1322462.125000,-4.467111,0.928035
internalMesh,10423,0.132242,0.023623,0.000000,0.134336,3.420920,-0.037338,-0.003558,3.421126,11.253526,0.286292,0.000429,0.164758,-0.000793,0.007827,11.258375,3.614305,-0.162071,-0.007869,3.617945,0.249169,5.770124,6.019292,0.000004,13.045070,1299646.375000,-4.492261,0.929687
internalMesh,10424,0.133799,0.023631,0.000000,0.135870,3.358790,-0.033618,-0.003412,3.358960,11.250148,0.278455,0.000415,0.163051,-0.001396,0.008025,11.254778,3.527768,-0.130707,-0.006761,3.530195,0.208350,5.764509,5.972859,0.000003,13.167877,1276856.000000,-4.018251,0.930212
internalMesh,10425,0.135367,0.023639,0.000000,0.137416,3.295428,-0.028396,-0.003125,3.295552,11.249650,0.263794,0.000403,0.152852,-0.001911,0.007448,11.253783,3.399377,-0.079873,-0.005792,3.400321,0.197107,5.756923,5.954031,0.000002,13.309628,1254090.750000,-3.233322,0.930133
internalMesh,10426,0.136948,0.023647,0.000000,0.138975,3.237396,-0.022697,-0.002780,3.237477,11.191044,0.244652,0.000396,0.129526,-0.002077,0.006098,11.194469,3.328700,-0.038370,-0.006381,3.328927,0.214884,5.718045,5.932929,0.000003,13.459850,1231356.000000,-2.621886,0.929168
internalMesh,10427,0.138541,0.023655,0.000000,0.140546,3.189918,-0.013402,-0.002407,3.189947,11.059721,0.226544,0.000400,0.090996,-0.002002,0.004134,11.062416,3.373539,-0.030007,-0.007690,3.373682,0.217345,5.643332,5.860677,0.000004,13.616632,1208653.625000,-2.085871,0.927626
internalMesh,10428,0.140147,0.023664,0.000000,0.142131,3.151367,-0.002451,-0.002018,3.151369,10.898787,0.214647,0.000417,0.048709,-0.001781,0.002156,10.901011,3.396111,-0.038137,-0.007701,3.396333,0.207516,5.556925,5.764441,0.000005,13.778183,1185987.500000,-1.443454,0.926076
internalMesh,10429,0.141765,0.023672,0.000000,0.143728,3.121248,0.007063,-0.001607,3.121257,10.723494,0.209776,0.000438,0.016766,-0.001538,0.000525,10.725558,3.453134,-0.028849,-0.005912,3.453260,0.193343,5.466853,5.660197,0.000004,13.940598,1163362.000000,-0.818647,0.924653
internalMesh,10430,0.143395,0.023680,0.000000,0.145338,3.098076,0.013935,-0.001183,3.098108,10.537199,0.209293,0.000457,0.004795,-0.001304,-0.000840,10.539279,3.503996,0.000181,-0.002861,3.503997,0.182657,5.373474,5.556131,0.000003,14.101160,1140781.375000,-0.115147,0.923900
internalMesh,10431,0.145039,0.023689,0.000000,0.146960,3.079942,0.018278,-0.000773,3.079996,10.359043,0.209257,0.000468,0.010876,-0.001041,-0.001942,10.361162,3.405555,0.042291,0.000309,3.405817,0.198201,5.284384,5.482585,0.000002,14.257087,1118248.875000,0.693665,0.923881
internalMesh,10432,0.146695,0.023697,0.000000,0.148596,3.063463,0.019905,-0.000331,3.063528,10.217691,0.209014,0.000462,0.030744,-0.000776,-0.002732,10.219875,3.286382,0.074074,0.002769,3.287218,0.212327,5.213584,5.425911,0.000001,14.403030,1095770.250000,1.512173,0.924580
internalMesh,10433,0.148364,0.023706,0.000000,0.150246,3.047299,0.017948,0.000200,3.047352,10.129455,0.209772,0.000436,0.063095,-0.000528,-0.003628,10.131824,3.255898,0.088166,0.004665,3.257094,0.221313,5.169831,5.391144,0.000001,14.528747,1073347.625000,2.213731,0.925822
internalMesh,10434,0.150045,0.023715,0.000000,0.151908,3.031820,0.012005,0.000791,3.031844,10.089212,0.209396,0.000405,0.101524,-0.000385,-0.004868,10.091897,3.291040,0.101885,0.005740,3.292621,0.241127,5.149507,5.390634,0.000002,14.627648,1050987.250000,2.956203,0.927477
