Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,fOmega_average,kU_average,k_average,nut_average,omegaU_average,omega_average,p_average
internalMesh,615,0.053996292874,-0.024860213976,0.000000000000,0.059444342734,-2.845415830612,0.025541460142,0.000000000000,2.845530509949,1.000000000000,6.134178161621,6.134178161621,0.000697716721,6608.345703125000,6608.345703125000,-8.674071311951
internalMesh,616,0.054944487289,-0.024860647041,0.000000000000,0.060307117778,-2.864628076553,0.023063207045,0.000000000000,2.864720821381,1.000000000000,6.115557193756,6.115557193756,0.000692133035,6636.317871093750,6636.317871093750,-8.561905860901
internalMesh,617,0.055900054052,-0.024861083366,0.000000000000,0.061179159108,-2.880906343460,0.020710742101,0.000000000000,2.880980730057,1.000000000000,6.093470096588,6.093470096588,0.000686716405,6658.649902343750,6658.649902343750,-8.433408737183
internalMesh,618,0.056863049045,-0.024861522950,0.000000000000,0.062060467853,-2.894383668900,0.018446700647,0.000000000000,2.894442558289,1.000000000000,6.068082809448,6.068082809448,0.000681452279,6675.190917968750,6675.190917968750,-8.289577484131
internalMesh,619,0.057833530009,-0.024861966260,0.000000000000,0.062951048916,-2.905159235001,0.016247758642,-0.000000000000,2.905204772949,1.000000000000,6.039542675018,6.039542675018,0.000676308875,6686.166992187500,6686.166992187500,-8.131287574768
internalMesh,620,0.058811556548,-0.024862412829,0.000000000000,0.063850910371,-2.913326025009,0.014097173698,0.000000000000,2.913360118866,1.000000000000,6.007981300354,6.007981300354,0.000671257265,6691.874511718750,6691.874511718750,-7.959297657013
internalMesh,621,0.059797188267,-0.024862862658,0.000000000000,0.064760062262,-2.918930768967,0.011959501542,0.000000000000,2.918955326080,1.000000000000,5.973553657532,5.973553657532,0.000666283828,6692.460449218750,6692.460449218750,-7.774392604828
internalMesh,622,0.060790482908,-0.024863316212,0.000000000000,0.065678514792,-2.922015905380,0.009856180288,0.000000000000,2.922032594681,1.000000000000,5.936401367188,5.936401367188,0.000661274244,6687.987304687500,6687.987304687500,-7.577488899231
internalMesh,623,0.061791500077,-0.024863773491,0.000000000000,0.066606281340,-2.922622203827,0.007788516581,0.000000000000,2.922632694244,1.000000000000,5.896696567535,5.896696567535,0.000655795739,6678.476074218750,6678.476074218750,-7.369425773621
internalMesh,624,0.062800299376,-0.024864234496,0.000000000000,0.067543376869,-2.920785427094,0.005718262866,0.000000000000,2.920790910721,1.000000000000,5.854622364044,5.854622364044,0.000650646340,6663.877441406250,6663.877441406250,-7.150916099548
