Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,ddt0(U)_average_0,ddt0(U)_average_1,ddt0(U)_average_2,ddt0(U)_average_Magnitude,ddt0(k)_average,ddt0(omega)_average,ddtCorrDdt0(U)_average_0,ddtCorrDdt0(U)_average_1,ddtCorrDdt0(U)_average_2,ddtCorrDdt0(U)_average_Magnitude,k_average,nut_average,omega_average,p_average,turbulenceProperties:L_average,turbulenceProperties:R_average_0,turbulenceProperties:R_average_1,turbulenceProperties:R_average_2,turbulenceProperties:R_average_3,turbulenceProperties:R_average_4,turbulenceProperties:R_average_5,turbulenceProperties:R_average_Magnitude,yPlus_average
internalMesh,47,-0.00311114,0.01422400,0.00000000,0.01456027,10.02900887,0.01420407,0.00000000,10.02901936,-0.42649785,-0.15626656,0.00000000,0.45422423,-0.02556125,8.76165581,-0.42649785,-0.15626656,0.00000000,0.45422423,0.37288058,0.00764602,45.87338638,-7.23705816,0.02430483,0.20637985,0.29097864,0.24840273,-0.02055493,-0.00000000,-0.00000000,0.43518689,0.00000000
internalMesh,48,-0.02028889,0.01651000,0.00000000,0.02615758,10.00000000,-0.00019913,0.00000000,10.00000000,-0.00015223,0.00631475,0.00000000,0.00631659,-0.00007665,-0.00031586,-0.00015223,0.00631475,0.00000000,0.00631659,0.37495917,0.00946254,39.62561417,-6.96639490,0.02821339,0.24745236,0.25241995,0.25004613,0.00615694,-0.00000000,-0.00000000,0.43302366,0.00000000
internalMesh,49,-0.01954548,0.01651000,0.00000000,0.02558527,10.00021744,-0.00069441,0.00000000,10.00021744,0.00205443,0.03601174,0.00000000,0.03607029,-0.00028580,-0.03276666,0.00205443,0.03601174,0.00000000,0.03607029,0.37486279,0.00944166,39.70302582,-6.96586180,0.02815471,0.24257177,0.25735459,0.24979882,0.00589293,-0.00000000,-0.00000000,0.43302035,0.00000000
internalMesh,50,-0.01851252,0.01651000,0.00000000,0.02480511,10.00072289,-0.00136024,0.00000000,10.00072289,0.00862941,0.08383960,0.00000000,0.08428253,-0.00054724,-0.06635067,0.00862941,0.08383960,0.00000000,0.08428253,0.37472975,0.00938384,39.93351364,-6.96747112,0.02798730,0.23619351,0.26348731,0.24977857,0.00439702,-0.00000000,-0.00000000,0.43315309,0.00000000
internalMesh,51,-0.01707723,0.01651000,0.00000000,0.02375314,10.00206280,-0.00209697,0.00000000,10.00206280,0.02498117,0.14162309,0.00000000,0.14380945,-0.00084087,0.05516381,0.02498117,0.14162309,0.00000000,0.14380945,0.37454697,0.00924460,40.51520157,-6.97568178,0.02757875,0.22904283,0.27016529,0.24988605,0.00105470,-0.00000000,-0.00000000,0.43346748,0.00000000
internalMesh,52,-0.01508290,0.01651000,0.00000000,0.02236233,10.00471401,-0.00258917,0.00000000,10.00471401,0.05395113,0.20084472,0.00000000,0.20796472,-0.00176454,-0.98862582,0.05395113,0.20084472,0.00000000,0.20796472,0.37429541,0.00897999,41.68104553,-6.99728346,0.02679835,0.22206126,0.27647156,0.25005800,-0.00389075,-0.00000000,-0.00000000,0.43392611,0.00000000
internalMesh,53,-0.01231178,0.01651000,0.00000000,0.02059515,10.00964737,-0.00219497,0.00000000,10.00964737,0.11315826,0.32814729,0.00000000,0.34711012,-0.00090887,0.79185861,0.11315826,0.32814729,0.00000000,0.34711012,0.37394395,0.00850447,43.97027588,-7.04172993,0.02539122,0.21690761,0.28115001,0.24982999,-0.00880045,-0.00000000,-0.00000000,0.43426570,0.00000000
internalMesh,54,-0.00846133,0.01651000,0.00000000,0.01855193,10.01768589,-0.00060553,0.00000000,10.01768589,0.27914131,-0.00126738,0.00000000,0.27914420,0.00262245,-0.86182970,0.27914131,-0.00126738,0.00000000,0.27914420,0.37345633,0.00778013,47.49696350,-7.12617588,0.02349061,0.21308303,0.28366265,0.25016674,-0.01469911,-0.00000000,-0.00000000,0.43435970,0.00000000
internalMesh,55,-0.00311114,0.01651000,0.00000000,0.01680057,10.03253174,0.00674853,0.00000000,10.03253365,-0.17505796,-0.13438821,0.00000000,0.22069319,-0.02299936,-5.37643242,-0.17505796,-0.13438821,0.00000000,0.22069319,0.37277278,0.00667494,53.42834854,-7.27594900,0.02086421,0.20871830,0.28765687,0.24917044,-0.01721525,-0.00000000,-0.00000000,0.43438703,0.00000000
internalMesh,56,-0.02028889,0.01905000,0.00000000,0.02783058,10.00000000,-0.00058629,0.00000000,10.00000000,-0.00020820,0.00368072,0.00000000,0.00368660,-0.00005025,-0.00676872,-0.00020820,0.00368072,0.00000000,0.00368660,0.37496096,0.00938860,39.93794632,-6.94068718,0.02799282,0.24589552,0.25391677,0.25011033,0.01661208,-0.00000000,-0.00000000,0.43332374,0.00000000
