Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_total_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average
internalMesh,1310,0.200749,-0.022209,0.000000,0.201973,4.038414,0.037623,-0.000089,4.038590,6.410808,0.437932,0.000108,0.253969,-0.001038,0.000994,6.430766,3.537012,0.020727,0.002417,3.537073,3.424424,0.000003,20.064430,498911.062500,16.747261,0.854690
internalMesh,1311,0.202838,-0.022097,0.000000,0.204038,4.021285,0.079465,-0.000249,4.022069,6.381255,0.402661,0.000100,0.301752,-0.000634,0.001191,6.401063,3.581561,0.063297,0.001175,3.582121,3.392008,0.000003,20.066643,479984.781250,16.815792,0.855207
internalMesh,1312,0.204943,-0.022104,0.000000,0.206132,3.986964,0.111476,-0.000391,3.988522,6.291223,0.352560,0.000095,0.346416,-0.000337,0.001109,6.310609,3.596887,0.110656,0.000123,3.598588,3.321940,0.000003,20.022614,461361.500000,16.825602,0.853858
internalMesh,1313,0.000264,-0.020321,0.000000,0.020323,0.076164,-0.720924,-0.001134,0.724937,0.043186,2.393850,0.000132,-0.170798,0.000842,-0.000185,2.400324,0.076120,-0.732370,0.003036,0.736321,1.218584,0.000005,2.482654,3675996.750000,-5.324831,0.840739
internalMesh,1314,0.000795,-0.020323,0.000000,0.020339,0.439081,-1.576325,-0.001142,1.636335,0.298730,2.942001,0.000108,-0.627726,0.002634,-0.000952,3.023021,0.452369,-1.547690,0.002937,1.612448,1.620419,0.000004,2.207575,3675173.250000,-5.594230,0.852094
internalMesh,1315,0.001329,-0.020325,0.000000,0.020369,0.723004,-2.008617,-0.001061,2.134778,0.850157,3.668927,0.000111,-1.501072,0.003166,-0.001473,4.054260,0.789435,-2.092550,0.002906,2.236511,2.259597,0.000003,1.685501,3674073.500000,-6.109528,0.858768
internalMesh,1316,0.001868,-0.020328,0.000000,0.020413,0.891309,-2.119326,-0.001056,2.299125,1.495422,4.356930,0.000103,-2.352656,0.003167,-0.001811,5.172440,1.011891,-2.317137,0.002869,2.528450,2.926227,0.000002,1.002721,3672872.500000,-6.794771,0.862641
internalMesh,1317,0.002411,-0.020330,0.000000,0.020472,0.959014,-2.029456,-0.001037,2.244638,2.110539,4.731688,0.000107,-2.997287,0.003099,-0.002052,5.985565,1.128560,-2.322082,0.002777,2.581806,3.421167,0.000002,0.252155,3671501.750000,-7.557391,0.866400
internalMesh,1318,0.002958,-0.020332,0.000000,0.020546,0.964404,-1.837909,-0.001078,2.075568,2.651824,4.791801,0.000119,-3.416680,0.003023,-0.002256,6.455018,1.171718,-2.175406,0.002693,2.470895,3.721873,0.000002,-0.506076,3669897.000000,-8.333179,0.869847
internalMesh,1319,0.003509,-0.020334,0.000000,0.020635,0.925052,-1.595247,-0.001130,1.844054,3.192267,4.699861,0.000130,-3.722169,0.002913,-0.002473,6.792188,1.176399,-1.942321,0.002582,2.270800,3.946129,0.000001,-1.248700,3667977.000000,-9.078415,0.872397
